source_term,ontology_id,match_type,confidence_score
Abiraterone,rxcui:1100078,exact_match,
Aldesleukin,rxcui:69899,exact_match,
Altretamine,rxcui:2100,exact_match,
Anastrozole,rxcui:84857,exact_match,
Arsenic Trioxide,rxcui:214555,exact_match,
Axitinib,rxcui:1100053,exact_match,
Azathioprine,rxcui:1303,exact_match,
Belinostat,rxcui:1551498,exact_match,
Bevacizumab,rxcui:448588,exact_match,
Bicalutamide,rxcui:174638,exact_match,
Bleomycin,rxcui:1641,exact_match,
Bortezomib,rxcui:371534,exact_match,
Cabazitaxel,rxcui:1100070,exact_match,
Cabozantinib,rxcui:1360493,exact_match,
Capecitabine,rxcui:194000,exact_match,
Carboplatin,rxcui:40048,exact_match,
Carmustine,rxcui:2105,exact_match,
Celecoxib,rxcui:140587,exact_match,
Cetuximab,rxcui:230729,exact_match,
Chlorambucil,rxcui:2412,exact_match,
Cisplatin,rxcui:2555,exact_match,
Cladribine,rxcui:20483,exact_match,
Cyclophosphamide,rxcui:3002,exact_match,
Cyclosporine,rxcui:3008,exact_match,
Cytarabine,rxcui:3014,exact_match,
Dabrafenib,rxcui:1389569,exact_match,
Dacarbazine,rxcui:3017,exact_match,
Dactinomycin,rxcui:3018,exact_match,
Dasatinib,rxcui:349439,exact_match,
Degarelix,rxcui:899550,exact_match,
Denosumab,rxcui:1037573,exact_match,
Dexamethasone,rxcui:3264,exact_match,
Docetaxel,rxcui:72962,exact_match,
Doxorubicin,rxcui:3639,exact_match,
Doxorubicin Hydrochloride,rxcui:3639,synonym_match,
Enzastaurin,rxcui:504917,exact_match,
Enzastaurin Hydrochloride,rxcui:504917,synonym_match,
Epirubicin,rxcui:41493,exact_match,
Epirubicin Hydrochloride,rxcui:41493,synonym_match,
Eribulin,rxcui:1100068,exact_match,
Eribulin Mesylate,rxcui:1100068,synonym_match,
Erlotinib,rxcui:231516,exact_match,
Erlotinib Hydrochloride,rxcui:231516,synonym_match,
Estramustine,rxcui:3870,exact_match,
Etoposide,rxcui:4151,exact_match,
Etoposide Phosphate,rxcui:4151,synonym_match,
Everolimus,rxcui:296975,exact_match,
Exemestane,rxcui:149922,exact_match,
Filgrastim,rxcui:51428,exact_match,
Fludarabine,rxcui:14130,exact_match,
Fluorouracil,rxcui:4492,exact_match,
Fulvestrant,rxcui:216278,exact_match,
Gefitinib,rxcui:219953,exact_match,
Gemcitabine,rxcui:12574,exact_match,
Gemcitabine Hydrochloride,rxcui:12574,synonym_match,
Goserelin,rxcui:50814,exact_match,
Goserelin Acetate,rxcui:50814,synonym_match,
Hydroxyurea,rxcui:5535,exact_match,
Ibandronate Sodium,rxcui:137332,synonym_match,
Ifosfamide,rxcui:5923,exact_match,
Imatinib,rxcui:282388,exact_match,
Imatinib Mesylate,rxcui:282388,synonym_match,
Interferon Alfa-2B,rxcui:58998,exact_match,
Ipilimumab,rxcui:1094833,exact_match,
Irinotecan,rxcui:51499,exact_match,
Irinotecan Hydrochloride,rxcui:51499,synonym_match,
Isotretinoin,rxcui:5764,exact_match,
Ixabepilone,rxcui:657010,exact_match,
Ketoconazole,rxcui:6155,exact_match,
Lapatinib,rxcui:371656,exact_match,
Lenalidomide,rxcui:337535,exact_match,
Letrozole,rxcui:72926,exact_match,
Leucovorin,rxcui:6313,exact_match,
Leucovorin Calcium,rxcui:6313,synonym_match,
Leuprolide,rxcui:6421,exact_match,
Leuprolide Acetate,rxcui:6421,synonym_match,
Levothyroxine,rxcui:10582,exact_match,
Levothyroxine Sodium,rxcui:10582,synonym_match,
Lomustine,rxcui:6512,exact_match,
Medroxyprogesterone Acetate,rxcui:7458,exact_match,
Megestrol Acetate,rxcui:6861,exact_match,
Melphalan,rxcui:6877,exact_match,
Mercaptopurine,rxcui:6893,exact_match,
Mesna,rxcui:31107,exact_match,
Metformin,rxcui:6809,exact_match,
Methotrexate,rxcui:7821,exact_match,
Methylprednisolone,rxcui:7829,exact_match,
Mitomycin,rxcui:7050,exact_match,
Mitotane,rxcui:7052,exact_match,
Mitoxantrone,rxcui:7068,exact_match,
Nab-paclitaxel,rxcui:1371395,exact_match,
Nilutamide,rxcui:37801,exact_match,
Nivolumab,rxcui:1656594,exact_match,
Octreotide Acetate,rxcui:72401,synonym_match,
Ofatumumab,rxcui:985250,exact_match,
Olaparib,rxcui:1597876,exact_match,
Oxaliplatin,rxcui:31022,exact_match,
Paclitaxel,rxcui:56946,exact_match,
Pamidronate Disodium,rxcui:66719,synonym_match,
Pamidronic Acid,rxcui:66719,synonym_match,
Panitumumab,rxcui:536228,exact_match,
Pasireotide,rxcui:1099261,exact_match,
Pazopanib,rxcui:961800,exact_match,
Pazopanib Hydrochloride,rxcui:961800,synonym_match,
Pegfilgrastim,rxcui:352603,exact_match,
Pembrolizumab,rxcui:1718913,exact_match,
Pemetrexed,rxcui:351286,exact_match,
Pemetrexed Disodium,rxcui:351286,synonym_match,
Pentostatin,rxcui:8221,exact_match,
Prednisone,rxcui:8640,exact_match,
Procarbazine,rxcui:8929,exact_match,
Procarbazine Hydrochloride,rxcui:8929,synonym_match,
Raltitrexed,rxcui:109090,exact_match,
Regorafenib,rxcui:1367583,exact_match,
Ridaforolimus,rxcui:1020456,exact_match,
Rituximab,rxcui:121191,exact_match,
Sargramostim,rxcui:9007,exact_match,
Selumetinib,rxcui:1657071,exact_match,
Sirolimus,rxcui:58827,exact_match,
Sorafenib,rxcui:350344,exact_match,
Sorafenib Tosylate,rxcui:350344,synonym_match,
Streptozocin,rxcui:10076,exact_match,
Sunitinib,rxcui:349939,exact_match,
Sunitinib Malate,rxcui:349939,synonym_match,
Tamoxifen,rxcui:10324,exact_match,
Tamoxifen Citrate,rxcui:10324,synonym_match,
Tegafur,rxcui:25895,exact_match,
Temozolomide,rxcui:152975,exact_match,
Temsirolimus,rxcui:373416,exact_match,
Teniposide,rxcui:10425,exact_match,
Thalidomide,rxcui:10344,exact_match,
Thioguanine,rxcui:10513,exact_match,
Thiotepa,rxcui:10514,exact_match,
Tipifarnib,rxcui:275245,exact_match,
Topotecan,rxcui:9321,exact_match,
Topotecan Hydrochloride,rxcui:9321,synonym_match,
Trabectedin,rxcui:703563,exact_match,
Trametinib,rxcui:1372831,exact_match,
Trastuzumab,rxcui:224905,exact_match,
Tretinoin,rxcui:10521,exact_match,
Triptorelin,rxcui:34896,exact_match,
Triptorelin Pamoate,rxcui:34896,synonym_match,
Valproic Acid,rxcui:11118,exact_match,
Vandetanib,rxcui:1039451,exact_match,
Vemurafenib,rxcui:1147220,exact_match,
Vinblastine,rxcui:11168,exact_match,
Vincristine,rxcui:11202,exact_match,
Vincristine Sulfate,rxcui:11202,synonym_match,
Vinorelbine,rxcui:100141,exact_match,
Vinorelbine Tartrate,rxcui:100141,synonym_match,
Vismodegib,rxcui:1253473,exact_match,
Vorinostat,rxcui:613903,exact_match,
Warfarin Sodium,rxcui:11289,synonym_match,
Zoledronic Acid,rxcui:113519,exact_match,
Ziv-Aflibercept,rxcui:1298063,exact_match,
Dexamethasone Phosphate,rxcui:3264,synonym_match,
Afatinib,rxcui:1430438,exact_match,
Afatinib Dimaleate,rxcui:1430438,synonym_match,
Peginterferon Alfa-2b,rxcui:493026,exact_match,
Amifostine,rxcui:36281,exact_match,
