source_term,ontology_id,match_type,confidence_score
Chemotherapy,C15632,exact_match,
"Radiation Therapy, NOS",C15313,exact_match,
"Pharmaceutical Therapy, NOS",C49630,exact_match,
Hormone Therapy,C15343,exact_match,
Immunotherapy (Including Vaccines),C15262,exact_match,
"Surgery, NOS",C17173,exact_match,
"Surgery, Open",C15329,exact_match,
"Surgery, Minimally Invasive",C17655,exact_match,
Targeted Molecular Therapy,C102872,exact_match,
"Brachytherapy, NOS",C15195,exact_match,
"Brachytherapy, High Dose",C15195,synonym_match,
"Brachytherapy, Low Dose",C15195,synonym_match,
"Stem Cell Transplantation, NOS",C20835,exact_match,
"Stem Cell Transplantation, Autologous",C15260,exact_match,
Bisphosphonate Therapy,C15672,exact_match,
"Ablation, Radiofrequency",C64917,exact_match,
"Ablation, Cryo",C64901,exact_match,
"Ablation, NOS",C15708,exact_match,
"Ablation or Embolization, NOS",C15708,synonym_match,
"Ablation, Microwave",C64916,exact_match,
"Ablation, Ethanol Injection",C64910,exact_match,
Chemoembolization,C15190,exact_match,
Radioembolization,C62608,exact_match,
"Radiation, External Beam",C15315,exact_match,
"Radiation, 3D Conformal",C15316,exact_match,
"Radiation, Intensity-Modulated Radiotherapy",C15313,synonym_match,
"Radiation, Stereotactic/Gamma Knife/SRS",C15710,exact_match,
"Radiation, Cyberknife",C62611,exact_match,
"Radiation, Combination",C15313,synonym_match,
"Radiation, Implants",C15195,synonym_match,
"Radiation, Internal",C15317,exact_match,
"Radiation, Radioisotope",C15317,synonym_match,
"Radiation, Systemic",C15317,synonym_match,
I-131 Radiation Therapy,C15317,synonym_match,
Radiosensitizing Agent,C1328,exact_match,
Ancillary Treatment,C15709,synonym_match,
Antiseizure Treatment,C96408,synonym_match,
Steroid Therapy,C62686,exact_match,
Organ Transplantation,C62606,exact_match,
Isolated Limb Perfusion (ILP),C15419,exact_match,
"Pleurodesis, NOS",C62624,synonym_match,
Whipple,C51772,exact_match,
Total Pancreatectomy,C51772,synonym_match,
Distal Pancreatectomy,C51772,synonym_match,
"Hysterectomy, NOS",C15703,exact_match,
"Biopsy, Excisional",C15232,exact_match,
