source_term,ontology_id,match_type,confidence_score
Acinar adenocarcinoma,C4435,exact_match,
Acinar cell carcinoma,C4216,exact_match,
Acute megakaryoblastic leukaemia,C9143,exact_match,
Acute monocytic leukemia,C9115,exact_match,
Acute myeloid leukemia with maturation,C9115,synonym_match,
Acute myeloid leukemia without maturation,C9100,exact_match,
"Acute myeloid leukemia, NOS",C3171,exact_match,
Acute myelomonocytic leukemia,C9098,exact_match,
"Acute promyelocytic leukaemia, t(15;17)(q22;q11-12)",C9102,exact_match,
Adenocarcinoma in tubulovillous adenoma,C6994,synonym_match,
Adenocarcinoma with mixed subtypes,C6553,synonym_match,
Adenocarcinoma with neuroendocrine differentiation,C35780,synonym_match,
"Adenocarcinoma, NOS",C2852,exact_match,
"Adenocarcinoma, endocervical type",C6994,synonym_match,
"Adenocarcinoma, intestinal type",C5650,exact_match,
Adenoid basal carcinoma,C7473,exact_match,
Adenoid cystic carcinoma,C4174,exact_match,
Adenosquamous carcinoma,C2965,exact_match,
Adrenal cortical carcinoma,C6552,exact_match,
"Astrocytoma, NOS",C3802,exact_match,
"Astrocytoma, anaplastic",C4791,exact_match,
"Basal cell carcinoma, NOS",C2921,exact_match,
"Basal cell carcinoma, nodular",C4012,exact_match,
Basaloid squamous cell carcinoma,C35700,exact_match,
"Bronchio-alveolar carcinoma, mucinous",C4580,synonym_match,
"Bronchiolo-alveolar adenocarcinoma, NOS",C35830,exact_match,
"Bronchiolo-alveolar carcinoma, non-mucinous",C35831,exact_match,
"Carcinoid tumor, NOS",C4013,exact_match,
"Carcinoma in situ, NOS",C9093,exact_match,
"Carcinoma, NOS",C2916,exact_match,
"Carcinoma, diffuse type",C5649,exact_match,
"Carcinoma, undifferentiated, NOS",C6965,exact_match,
"Carcinosarcoma, NOS",C3407,exact_match,
Cholangiocarcinoma,C4527,exact_match,
"Chondrosarcoma, NOS",C3777,exact_match,
"Choriocarcinoma, NOS",C3302,exact_match,
Chronic lymphocytic leukemia,C3163,exact_match,
"Chronic lymphocytic leukemia, B-cell type (includes all variants of BCLL)",C3163,synonym_match,
"Chronic myeloid leukemia, NOS",C3174,exact_match,
"Clear cell adenocarcinoma, NOS",C4070,exact_match,
Clear cell carcinoma,C4236,synonym_match,
Combined hepatocellular carcinoma and cholangiocarcinoma,C27255,exact_match,
Combined small cell carcinoma,C35779,synonym_match,
Combined small cell-squamous cell carcinoma,C65153,synonym_match,
Dedifferentiated liposarcoma,C7927,exact_match,
"Diffuse large B-cell lymphoma, NOS",C8851,exact_match,
"Ductal carcinoma in situ, NOS",C4018,exact_match,
"Embryonal carcinoma, NOS",C3411,synonym_match,
"Endometrioid adenocarcinoma, NOS",C7359,exact_match,
Epithelioid cell melanoma,C6981,exact_match,
"Epithelioid mesothelioma, malignant",C27390,exact_match,
"Extra-adrenal paraganglioma, NOS",C9179,synonym_match,
"Extra-adrenal paraganglioma, malignant",C4327,synonym_match,
"Fibrosarcoma, NOS",C3040,exact_match,
"Follicular adenocarcinoma, NOS",C7372,synonym_match,
"Follicular carcinoma, NOS",C7372,exact_match,
"Follicular carcinoma, minimally invasive",C27389,exact_match,
"Follicular lymphoma, NOS",C3209,exact_match,
"Gastrointestinal stromal tumor, NOS",C3868,exact_match,
"Germ cell tumor, NOS",C3681,exact_match,
Germinoma,C4462,exact_match,
Glioblastoma,C3058,exact_match,
"Granulosa cell tumor, malignant",C4337,exact_match,
Hairy cell leukemia,C3194,exact_match,
"Hepatocellular carcinoma, NOS",C2956,exact_match,
"Hepatocellular carcinoma, clear cell type",C35802,exact_match,
"Hepatocellular carcinoma, fibrolamellar",C7950,exact_match,
"Hepatocellular carcinoma, spindle cell variant",C35803,synonym_match,
"Hodgkin lymphoma, NOS",C9325,exact_match,
Infiltrating duct and lobular carcinoma,C5214,exact_match,
"Infiltrating duct carcinoma, NOS",C4017,exact_match,
Infiltrating duct mixed with other types of carcinoma,C5214,synonym_match,
"Infiltrating lobular carcinoma, NOS",C3641,exact_match,
Infiltrating lobular mixed with other types of carcinoma,C5214,synonym_match,
"Intraductal carcinoma, noninfiltrating, NOS",C4018,synonym_match,
Intraductal papillary adenocarcinoma with invasion,C27272,synonym_match,
Invasive micropapillary carcinoma,C40993,exact_match,
Large cell neuroendocrine carcinoma,C7700,exact_match,
"Leiomyosarcoma, NOS",C3798,exact_match,
Lentigo maligna melanoma,C4219,exact_match,
"Liposarcoma, NOS",C3529,exact_match,
"Liposarcoma, well differentiated",C7927,synonym_match,
"Lobular carcinoma in situ, NOS",C3641,synonym_match,
"Lobular carcinoma, NOS",C3641,synonym_match,
"Lymphoid leukemia, NOS",C3161,exact_match,
Malignant fibrous histiocytoma,C7267,exact_match,
"Malignant lymphoma, NOS",C3208,exact_match,
"Malignant lymphoma, large B-cell, diffuse, NOS",C8851,synonym_match,
"Malignant lymphoma, non-Hodgkin, NOS",C3209,synonym_match,
"Malignant melanoma, NOS",C3224,exact_match,
Malignant peripheral nerve sheath tumor,C3790,exact_match,
Mediastinal (thymic) large B-cell lymphoma,C27424,exact_match,
"Medullary carcinoma, NOS",C9105,exact_match,
Melanoma in situ,C8562,exact_match,
"Melanoma, NOS",C3224,synonym_match,
"Meningioma, NOS",C3230,exact_match,
Merkel cell carcinoma,C9135,exact_match,
"Mesothelioma, NOS",C3234,exact_match,
"Mesothelioma, biphasic, malignant",C27390,synonym_match,
"Mesothelioma, malignant",C9253,exact_match,
"Metaplastic carcinoma, NOS",C7908,exact_match,
Mixed germ cell tumor,C7952,exact_match,
Mixed glioma,C3807,exact_match,
Mucinous adenocarcinoma,C4296,exact_match,
Multiple myeloma,C3242,exact_match,
Mycosis fungoides,C3220,exact_match,
"Myelodysplastic syndrome, NOS",C3476,exact_match,
"Neoplasm, malignant",C9305,exact_match,
"Nephroblastoma, NOS",C3569,exact_match,
"Neurilemoma, NOS",C3225,exact_match,
"Neuroendocrine carcinoma, NOS",C4827,exact_match,
Nodular melanoma,C8562,synonym_match,
"Oligodendroglioma, NOS",C3805,exact_match,
"Oligodendroglioma, anaplastic",C6285,exact_match,
"Osteosarcoma, NOS",C9145,exact_match,
Paget disease and infiltrating duct carcinoma of breast,C5450,exact_match,
"Papillary adenocarcinoma, NOS",C4908,synonym_match,
"Papillary carcinoma, NOS",C4908,exact_match,
"Papillary carcinoma, follicular variant",C7372,synonym_match,
Papillary renal cell carcinoma,C4033,synonym_match,
Papillary serous cystadenocarcinoma,C4219,synonym_match,
Papillary squamous cell carcinoma,C35767,exact_match,
Papillary transitional cell carcinoma,C4908,synonym_match,
Papillary urothelial carcinoma,C27671,exact_match,
"Paraganglioma, NOS",C9179,exact_match,
"Paraganglioma, malignant",C4327,exact_match,
"Pheochromocytoma, NOS",C7340,exact_match,
"Pheochromocytoma, malignant",C4138,exact_match,
"Phyllodes tumor, malignant",C35802,synonym_match,
"Pituitary adenoma, NOS",C3329,exact_match,
Pleomorphic carcinoma,C4027,synonym_match,
Pleomorphic liposarcoma,C5677,exact_match,
Primary diffuse large B-cell lymphoma of the CNS,C27389,synonym_match,
"Renal cell carcinoma, NOS",C4033,exact_match,
"Renal cell carcinoma, chromophobe type",C4906,exact_match,
"Sarcoma, NOS",C9118,exact_match,
"Seminoma, NOS",C9242,exact_match,
"Serous cystadenocarcinoma, NOS",C4219,synonym_match,
Serous surface papillary carcinoma,C4219,synonym_match,
Signet ring cell carcinoma,C5650,synonym_match,
"Spindle cell melanoma, NOS",C6981,synonym_match,
"Squamous cell carcinoma in situ, NOS",C9093,synonym_match,
"Squamous cell carcinoma, NOS",C2929,exact_match,
"Squamous cell carcinoma, keratinizing, NOS",C2929,synonym_match,
"Squamous cell carcinoma, large cell, nonkeratinizing, NOS",C2929,synonym_match,
Superficial spreading melanoma,C3971,exact_match,
"Synovial sarcoma, NOS",C4238,exact_match,
"Synovial sarcoma, biphasic",C5467,exact_match,
"Synovial sarcoma, spindle cell",C5467,synonym_match,
"Teratoma, malignant, NOS",C3681,synonym_match,
"Thymoma, NOS",C7623,exact_match,
"Thymoma, type A, NOS",C27384,exact_match,
"Thymoma, type A, malignant",C27384,synonym_match,
"Thymoma, type AB, NOS",C27385,exact_match,
"Thymoma, type AB, malignant",C27385,synonym_match,
"Thymoma, type B1, NOS",C27386,exact_match,
"Thymoma, type B1, malignant",C27386,synonym_match,
"Thymoma, type B2, NOS",C27387,exact_match,
"Thymoma, type B2, malignant",C27387,synonym_match,
"Thymoma, type B3, malignant",C27388,synonym_match,
"Thymic carcinoma, NOS",C7899,exact_match,
Transitional cell carcinoma,C7463,exact_match,
Transitional cell carcinoma in situ,C7463,synonym_match,
Tubular adenocarcinoma,C5650,synonym_match,
Undifferentiated sarcoma,C9118,synonym_match,
Yolk sac tumor,C4341,exact_match,
