source_term,ontology_id,match_type,confidence_score
ABL1,HGNC:76,exact_match,
ALK,HGNC:427,exact_match,
BCL10,HGNC:969,exact_match,
BCL2,HGNC:990,exact_match,
BCL6,HGNC:1001,exact_match,
BCR,HGNC:1014,exact_match,
BRAF,HGNC:1097,exact_match,
CBFB,HGNC:1521,exact_match,
CCND1,HGNC:1582,exact_match,
CDKN2A,HGNC:1787,exact_match,
DNTT,HGNC:2993,exact_match,
EGFR,HGNC:3236,exact_match,
ERBB2,HGNC:3430,exact_match,
ESR1,HGNC:3467,exact_match,
ETV6,HGNC:3498,exact_match,
FLT3,HGNC:3765,exact_match,
FOXP1,HGNC:3823,exact_match,
HRAS,HGNC:5173,exact_match,
IDH1,HGNC:5382,exact_match,
IGH,HGNC:5477,exact_match,
IGK,HGNC:5716,exact_match,
IGL,HGNC:5714,exact_match,
IRF4,HGNC:6119,exact_match,
KMT2A,HGNC:7132,exact_match,
KRAS,HGNC:6407,exact_match,
MALT1,HGNC:16854,exact_match,
MIB1,HGNC:7030,synonym_match,
MLH1,HGNC:7127,exact_match,
MPO,HGNC:7218,exact_match,
MSH2,HGNC:7325,exact_match,
MSH6,HGNC:7329,exact_match,
MYC,HGNC:7553,exact_match,
NPM1,HGNC:7910,exact_match,
NRAS,HGNC:7989,exact_match,
PAX5,HGNC:8619,exact_match,
PAX8,HGNC:8622,exact_match,
PGR,HGNC:8910,exact_match,
PML,HGNC:9113,exact_match,
PMS2,HGNC:9122,exact_match,
PPARG,HGNC:9236,exact_match,
RARA,HGNC:9864,exact_match,
RET,HGNC:9967,exact_match,
RUNX1,HGNC:10471,exact_match,
RUNX1T1,HGNC:10472,exact_match,
TP53,HGNC:11998,exact_match,
