source_term,ontology_id,match_type,confidence_score
CD3,P07766,fuzzy_match,
CD5,P06127,exact_match,
CD7,P09564,exact_match,
CD10,P15144,exact_match,
CD14,P08571,exact_match,
CD19,P15391,exact_match,
CD20,P11836,exact_match,
CD22,P20273,exact_match,
CD23,P06734,exact_match,
CD25,P01589,exact_match,
CD30,P28908,exact_match,
CD33,P20138,exact_match,
CD34,P28906,exact_match,
CD45,P08575,exact_match,
CD56,P13591,exact_match,
CD79A,P11912,exact_match,
CD117,P10721,exact_match,
CD138,P18827,exact_match,
BCL6,P41182,exact_match,
CCND1,P24385,exact_match,
CEA,P06731,exact_match,
NSE,P09104,exact_match,
Prostate-Specific Antigen (PSA),P07288,exact_match,
