source_term,ontology_id,match_type,confidence_score
Acinar Cell Neoplasms,C9305,synonym_match,
Adenomas and Adenocarcinomas,C3771,exact_match,
Adnexal and Skin Appendage Neoplasms,C9330,exact_match,
Basal Cell Neoplasms,C2921,synonym_match,
Complex Epithelial Neoplasms,C9330,synonym_match,
Complex Mixed and Stromal Neoplasms,C3773,exact_match,
"Cystic, Mucinous and Serous Neoplasms",C4027,synonym_match,
Ductal and Lobular Neoplasms,C3890,exact_match,
"Epithelial Neoplasms, NOS",C3771,synonym_match,
Fibroepithelial Neoplasms,C3771,synonym_match,
Fibromatous Neoplasms,C3040,synonym_match,
Germ Cell Neoplasms,C3411,exact_match,
Gliomas,C3272,exact_match,
Lipomatous Neoplasms,C3529,synonym_match,
Mature B-Cell Lymphomas,C8665,exact_match,
Mesothelial Neoplasms,C3234,synonym_match,
Myeloid Leukemias,C9150,exact_match,
Myomatous Neoplasms,C3798,synonym_match,
Nerve Sheath Tumors,C3225,synonym_match,
Nevi and Melanomas,C3224,synonym_match,
Paragangliomas and Glomus Tumors,C9179,synonym_match,
"Soft Tissue Tumors and Sarcomas, NOS",C9118,synonym_match,
Squamous Cell Neoplasms,C3268,exact_match,
Synovial-like Neoplasms,C4238,synonym_match,
Thymic Epithelial Neoplasms,C7623,synonym_match,
Transitional Cell Papillomas and Carcinomas,C7463,synonym_match,
